index,0
VLOG134.txt,"hey shinies . you know how said that i wouldn't make a habbit out of, um, you know, making direct uploads. well i slept for, i don't know, a lot of hours today, so, yeah. and i actually had a lot to do because i have to pack because i'm leaving on wednesday to go to wisconsin and i wanted to just upload my video from last monday. but then i was like, ehh, but i want to inform them that i am leaving on wednesday, so, nyah, ya, -- it was -- it was a conundrum and this is my solution.so, i'm leaving on wednesday to go to wisconsin. and i guess that that could be considered a tradition, because i usually go up north around the winter time, ah, and summer too, usually, but i don't know, whatever. ah, as far as other traditions, usually we'll put the christmas tree up the day after, um, thanksgiving but we didn't because we have no idea where we are going to put it. ah, yeah, mmm, i forgot what else i wanted to talk about, mmm, oh this video is so crap.um, next monday i will be making a proper video though and it will be from a different location. it will be from wisconsin. um, so that's cool. ah, yeah, i will be staying with debbie, which is my dad's girlfriend, which is really complicated if you know the story of my dad. um, okay, ah, i'll be watching her kids for some of the time, benden and ellen , ah, just like i did when i went in the summer? no, last winter. i don't know, whatever. no, last winter and the summer. yeah, i have been there a lot recently, i guess.um, oh, there was other stuff that i had to talk about. mmm, i forget. um, well this is over two minutes, so i guess that's long enough. right? um, i don't know. i feel like i am forgetting something really important. this is great that you get to see me two weeks -- well not two weeks in a row but two times that i posted in a row just rambling because they're direct uploads, so, yeah, youtube should really add an editing feature to where you can view it afterwards, edit it and then -- yeah, that'd be nice. so, get on that youtube. okay, um, ah, i hope you guys have good luck uploading this week, ah -- i really know that i'm forgetting something and as soon as i click stop it's going to come into my head and then i am going to feel stupid. okay, well, stay shiny and happy i'll see you tomorrow sharp, maybe?"
VLOG179.txt,"ah! , hey guys, so i'm glad to say that i'm home in las vegas, nevada, visiting for the weekend. it feels awesome.and this is my doggie lizzy , yeah, yeah lizzy. she's named after me. don't -- don't get it too wrong, opp, she cute, opp she's bangs, ah. okay, so, let's catch you up on the dl. there's -- there's not too much going on, but i'm just excited to me home in vegas. what are you doing? .i'm just so excited. like, i was driving home and i got here in, like, three hours 'cause i was speeding. i was going, like, eighty five. that is kind of dangerous, in the dark, but i'm about to go to lunch with uh, some friends, alex and harrison . i'm excited to see them. and then i'm getting a massage and then, huh, it's -- i should go to my dinner.yeah, she missed me. i missed her. it's been a long fricking time. but anyways i'm happy to be home. i just got to the chiropractor fixed my back because of all of my back problems and what not and then, whoo, she crazy. crazy bananas.but a -- i -- i need to make cooler blogs. i don't know how to make blogs, so if you want to help me out -- i've been, like, researching trying to figure out better ways to make them, but i just, like, maybe i'm not that entertaining or something because i always thought that i was entertaining but then i look at other peoples and it's, like, they're twenty thousand times more entertaining and i got nothing. that's why i only get, like eighty, views. eighty, that's, like, nothing.you guys better watch my videos. watch my videos and subscribe to that pointy box over there. i think that's right, over there. and um, yes, so much stuff has been going on, it's insane.i am just awesome. that's all i have got to say, is that i'm just so awesome. yeah, so i'm talking to a guy. that's all i'm going to say about that but he's pretty hot. but this weekend is going to be a blast. i'm probably going to blog but i just wanted to say how awesome it is to be home. awesome, awesome. i say these words and i never stop saying them at all.i want to show you guys my room. pink, there's a lot of pictures on my fitting bag over there, yeah, representing. i've got to do homework this weekend. not too exciting, ahh.you -- so i'm picking up my bike. that's the main reason why i came down here so i could get up my bike and so i could go ride. so if you're in la downtown and you ride a six gear call me because i need someone to ride with, please.all right, i'm going to edit this and put it on youtube. yeah, i'm bored. before lunch, lahhh, we'll see. if you want my mouth, don't you? don't you? loo l'loo l'looo, you -- what are you looking at? what are you looking at?"
VLOG94.txt,"﻿this is a response to xxxx. um, okay, so the first question, would you kill a butterfly for a week's paid vacation. no, i wouldn't be able to do it. i just wouldn't be able to do it. i don't know like, stepping on a butterfly, i might -- but i couldn't like, take a butterfly and like, pull its wings off, like that's just sadistic and not right. i wouldn't be able to do it, even for a month's vacation, i wouldn't be able to do it.um, would you add one year of your life for taking someone else's? no, i wouldn't be able to do that either because, you know -- like, i don't want to die, but i don't want to be responsible for someone else dying too. you know, like, taking years off another life so i can live another year -- what's good about me that makes me -- like -- able to take someone else's and be okay with it; i wouldn't be able to do it. so that's a no.would you urinate with someone else? i've done it before. um, i'm a girl so we go to the bathroom in groups. so, yes, i could do it, whatever right, so long as they don't make any comments about hearing it so easily, but, yeah, i'm okay with it, it's fine, whatever, right.are you going to ask me. i'm very good about that actually. i enjoy getting coupled, because i don't like doing things on my own. like cooking, i'll do on my own, but i like having someone there you know you can talk to and later on you can go or whatever. you know i don't like working by myself because it gets very lonely. you know when there are lots of people answering, it gets very lonely, because you know you can't really talk to your customers about like, other things -- and you're not really friends with them so it gets very lonely.uh, if there was a public execution, would you watch? no. i really wouldn't; i don't want to watch someone die. i don't care; i don't care how bad they were; i don't care who would want to watch? okay, yeah, someone's getting executed. you know, i don't want to watch somebody die. i don't watch the simpsons, but i'd rather watch the simpsons than watch an execution. um, so, i apologize for the dark circles.i'm logging off; i'm extremely tired."
VLOG96.txt,"hello, it's, um, xxxx, and it's four twenty a. m. -- that just proves how significant i feel that this little audition is for five legit bloggers -- bloggers distinct -- five legit bloggers. well, like i said my name's xxxx. i have, uh, the aluminum macbook and i use imovie hd, imovie o nine and, um, sometimes final cut pro to edit. i -- to film, right now i'm using my photobooth from my isight and sometimes i also use my sony camera -- which films in hd, by the way. and i would like either tuesday or thursday, but xxxx wants tuesday so i'm gonna say thursday -- but not wednesday, because i go to church that night, so yeah. okay, well i think it would be pretty cool if you picked me. yeah."
VLOG140.txt,"hey, it's still monday and this is my first official xxxx video. now you might ask, what is a xxxx? well this is a xxxx. do you understand now? it's a wall covered in post its. but each post it contains a tinny amount of awesome. and it's just amazing. basically i live in the coolest dorm ever and whenever something amazing goes down or we have a new inside joke or something just amazing happens i write it on a post it and i date it and i tape it to the post it wall. and so everyday i am going to be explaining a post it to you. today's post it is this one.i'm a really a big fan of the snap pictures jump cut thing. but anyway that post it said i like to think of jesus as a mischievous badger. ten points if you know where the quote came from but, it's not really about where the quote came from. basically we became addicted to this website called mlia, its mylifeisaverage. com and it really should be my life is awesome because it's just all these stories about cool stuff that happened in people's lives. and it's better than fuck my life because instead of laughing at people's sadness you're laughing at people's awesome.anyway a lot of them are about the google game which is, like, where you put in a phrase and then you see what pops up first. you know, like, i think i like -- i blah or whatever -- and whatever comes up first is just usually hilarious. and so we put in, i like to think of and up came jesus as a mischievous badger. and so that is the official first post it on the post it wall. that is where the post it wall idea came from and it is super fun.tomorrow i will be telling you about the second post it on the xxxx and then the next day i will be telling you about the third. it's just really cool and it's -- a lot of you know you wouldn't get it if you weren't there stories, but you know what? they're still awesome and they'll still make you laugh. so tune in. and that's my first post it wall video. i like it.i'm playing with my flat bracelet. i found it on our counter and i was, like, what the fuck? i'm going to steal weasy waiters flat bracelet idea as i did in the first video today. and now i'm playing with it because it makes fun noises. i like it. i will see you in a minute when i make my third video. god, this is going to eat my life. bye."
VLOG285.txt,"today i would like to bring you a motivational speech from the regions of waco, america. a short time ago in a county not too far away i addressed you, the youtube community, by way of an over eloquent vernacular. i again wish to do so and would ask that you continue to view this video to hear the rest of the speech.war on terror, an almost trite declaration by the us government in this day and age, begs the question as to how they will fight such a war on terror. with little suzie terrified of tarantulas and thirty year old marvin still concerned about what life is like outside of his mother's household, it is a wonder how the service men and women of our country can take on such a giant as terror.i, however, would like to offer a solution. and to those of you chemistry folk, by solution i do not mean a homogeneous mixture of two or more substances, but rather an answer to an enduring question within the confines of american society. we must begin by creating an altruistic society in which the people do not think for themselves. by controlling the thoughts and minds of americans through outlets such as cnn and fox news and -- and/or the national enquirer, we will discover that terror only exists in our minds.once people are no longer thinking for themselves, we should initiate a false war on terror, on horror, on love, and other emotions that could at one point or another inflict pain on a humanoid. accomplishing these things would do wonders for the society that we live in today. and by wonders, i do not mean things that happened in the old testament or the bible, but rather a strange unity amongst the people, considering the fact that they're being controlled by the same outlet.with that i conclude my antagonizing and otherworldly speech. take what you like, leave what you hate, for this is the american idea of hope, change, and something else that i can't remember."
VLOG146.txt,"﻿hey, do you want a chocolate cupcake? seriously, do you? ahh. so hey guys, it's blog time again. you haven't had a blog in a while, have you? well, here's one now.quick question, though. has anyone ever had a spot on their butt that just won't go away? it's annoying, isn't it?so basically, this is just a little clip -- why can't i talk? seriously, why? well, enough about me, what have you guys been up to? i want to know everything. like everything, did you have a shower today or a bath? what shampoo did you use? herbal essences? oh yeah.okay, i really don't care that much about what you've been up to. this is just to let you know that i have, uh, quite a few videos in the making. um, i'm sorry i've been a bit dead over the past couple of weeks. among other things, it's halloween, um, but yeah, i've been fairly busy with college et cetera. college is going well. 'cause we've been putting to bands and stuff, uh, like little college bands today -- like half an hour cover set for a game they're playing at christmas. if any of you live around the oxford area, um, you can come see me play on the eighteenth of december, at the oxford and cherwell valley college. if you want -- if you want details of it, you could send me a message on youtube and i'll be happy to reply.do you like my makeshift mike stand? hello, hello.so i've got two more things to talk about. one is a little bit of i'm going to do. one of my friends is an amazing pianist, like seriously amazing. i have two friends that are amazing pianists. i'd say both of them -- the first one is my friend simon. if you've been on my channel recently or you follow me on twitter, you may have noticed that i put up a -- pigeonal go go of exposure poo, a legend on the piano medley that he did. it's really good, really nice to listen to and he's just -- he's just an amazing pianist. did i mention he's an amazing pianist? if you say pianist five times very fast, it ends up sounding like penis. pianist, pianist, pianist, pianist, pianist. ahh seriously, i've just realized that. i'm a genius.but seriously, go check in the sidebar for that. rate it comment on it, 'cause it's an amazing medley, like really, yeah. and the other user is darkmooncoversnineteen, um the -- there should be a little uh, annotation that appears on the screen. oh, there is. the fact is what is putting in the sidebar, why don't we just throw the link up to the other video, which is there. you see it? you see it? and poof it's gone. and so is the other one, poof. um, i'm weird aren't i? yeah, you are a bit. well, there's no need to be like that. anyway, and the second thing. i have been recording a song -- a song, you know, like a song, song that i wrote. so i'm gonna be like, the next dave from blue skies. ha, ha, ha, no obviously not. but here's a small little clip of the rough mix now. that'll do. so the final mix of that song, along with the music video should be up this weekend or the beginning of next week, so something for you to look forward to. me singing and playing guitar. whoo. suck it xxxx."
VLOG266.txt,"so when i was thinking about videos that i could do for my youtube page, i was actually considering doing a video about a child that my family and i sponsor in ethiopia. but then, i went to the xxxx page and they were talking about project for awesome, two thousand and eight, and i thought it was a perfect opportunity for me to talk about this charity. the charity i have chosen to talk about is called compassion. a lot of people are talking about how they're suffering, and because of the economic turmoil that canada, the u. s. , the whole entire world is going through right now. and even though that is true, we have to take a step back and realize that there are people all around the world who are suffering far mean children, mainly because they really can't do much for themselves.so on their website you can pick a child, deciding on what gender you want, the age, the country they live in, it -- it really doesn't matter, or you can ask for them to send you a random child in the mail that you can sponsor for thirty five dollars a month. now, that's the canadian price. i have absolutely no idea what it is in other countries, because they are situated 'round the world, so you would have to go to the specific website for your country to find out how much it is to sponsor a child. the story about how my family actually decided to sponsor a child is pretty interesting. i was in tenth grade, and i went to a concert for a christian singer i really like, called rebecca saint james. and i went with my dad, and we were pretty close, we were like, in the fourth row, or something like that, and she was talking about how her, and her home, and her family, sponsored children through compassion.and, i don't know, just the way she was describing it and how she actually went over there and got to see how her money and other people's money were being put to good use, it just touched me and i really, like, i couldn't obviously -- i couldn't afford it because i was fifteen at the time -- i just really asked my dad if, um, we could sponsor this child. so she asked the audience to raise your hand if you wanted, like, a little portfolio thingy for a child, and uh, i raised our hand, and we got this child called senit . here she is. also on the sheet, it explains where exactly your money is going. so it says that it helps provide your sponsored child with medical checkups, clothing, recreational activities, tutoring, tuition, and scholastic materials. so i thought that was really great that you know exactly where your money's going, and what is being provided for your child. so you know that he or she is going to be well taken care of.so there we go. i told you a little bit about compassion, what they do, and, you know, even if you -- if you can't afford to make any sort of donation or even sponsor a child, maybe you know somebody who can, and -- or you can try and raise awareness about it, too. now, i really want the thumbnail to show up for -- so i'm going to just have the next a minute -- a minute to two minutes -- of the thumbnail in hopes that it'll let me pick it, so, the video's ending now. thank you for listening."
VLOG55.txt,"﻿all right. i have strep, hence i have been doing a lot of window watching, creeping on people, you know; and what i have noticed is that girls, at least in my college, don't really care to wear pants. man, even though it's fifteen degrees out; and there's eight inches of snow on the ground; and then they complain about being too cold. put pants on and don't complain about freezing your ass off, because it is just hanging out there. that's all i have to say. put pants on, because somebody, from their fourth floor window, that has strep might hear you and post this on youtube."
VLOG130.txt,"﻿hello, this is my second blog and, um, i've got a computer right here. it's the one from top gear -- and the cool one -- and i like it 'cause it's cool, even though it says seriously, i'm cool.do you think you need to be cool to wear it, or is it cool that you aren't wearing it because it says you're uncool, and -- uh, i don't know, it's confusing. and on the label it says, this t shirt was tested on animals -- it didn't fit. which is funny, and strange, and weird like that.okay. and news about my life. i've been reading this book, brigands mc, robert muchamore. and it's in the series of cherub. you can see that there. it's the eleventh one, i think, so it's really good. and it just came out -- came out, like, last saturday or something. and if you're a teenager and -- you don't have to be a boy -- and, i don't know -- i don't know. if you're -- if you're a girl and you like it just, like, say it or anything. you should read it anyway if you haven't and if you have good for you.and, uh, i downloaded this new editing software and i can't understand it. it's called t at b z s four, and it's really confusing -- i don't get it. there's a link in the sidebar there and it takes thirty seconds to download and then, like, a minute to install. but i don't understand it at all. if anyone can, like, give me a link to a website that tells you how to do it or anything. now i'm just using windows movie maker because i used to use sony vegas pro, the trial, and then someone said you can download it again but it doesn't work for me. i don't know how you do it. do you have to like -- i turned off cookies, if that makes a difference. but, i mean, it's just the same. and, yeah, well, if you -- and i -- i don't really wanna buy the real thing because it's five hundred pounds. so that's a bit expensive for editing software i'm gonna use, like, once a week. well, actually at the moment it's twice a week. so -- and --okay, now it's a time when i might get a bit, like, sound a bit nerdy. so if you don't wanna hear anything about this, turn off now and thanks for the view. and, um, so, uh, i -- we just bought halo: odst yesterday and it's really good, even though it has no multi player. it has that five point mode which is really good, i think. but, um, yeah, it's really good and i was looking online and preordered modern warfare two. i have game tags in the sidebar, if you wanna look at that. add me or send me a message or anything or something like that. i'm on xbox, not ps three. i just don't like ps three. it's not as good, i don't think. and i know everyone says oh, you have to pay for internet, but then i mean, like, so? you have to pay for, like everything. you pay for internet anyway email service provider, whatever it's called. it's like, just an extra, whatever it is, like 4 pounds -- 3 pounds a month or something. it's okay. so, whatever. and getting assassin's creed two, which looks really good, and all the new games are coming out. scribblenauts is another one. sounds a bit weird, but whatever. so, see you soon."
